ID	label_en	synonym_en	label_ja	synonym_ja
NANDO:1200060	[指定] Niemann-Pick disease types A and B	NPD type A and B	[指定] ニーマン・ピック病A、B型	Niemann-Pick病A型、B型
NANDO:1200061	[指定] Niemann-Pick disease type A		[指定] ニーマン・ピック病A型	Niemann-Pick病A型
NANDO:1200062	[指定] Niemann-Pick disease type B		[指定] ニーマン・ピック病B型	Niemann-Pick病B型
NANDO:1200063	[指定] Niemann-Pick disease type C	NP-C	[指定] ニーマン・ピック病C型	Niemann-Pick病C型
NANDO:1200064	[指定] Infantile-onset Niemann-Pick disease type C	 Infantile-onset NPC	[指定] 乳児型ニーマン・ピック病C型	Niemann-Pick病C型（乳児型）
NANDO:1200065	[指定] Adult-onset Niemann-Pick disease type C		[指定] 成人型ニーマン・ピック病C型	Niemann-Pick病C型（成人型）
NANDO:1200066	[指定] GM1 gangliosidosis	Beta-galactosidase-1 deficiency	[指定] GM1ガングリオシドーシス	
NANDO:1200067	[指定] Infantile GM1 gangliosidosis	Type 1 GM1 gangliosidosis	[指定] 乳児型GM1-ガングリオシドーシス	
NANDO:1200068	[指定] Juvenile GM1 gangliosidosis	Type 2 GM1 gangliosidosis	[指定] 若年型GM1-ガングリオシドーシス	
NANDO:1200069	[指定] Adult GM1 gangliosidosis	Type 3 GM1 gangliosidosis	[指定] 成人型GM1-ガングリオシドーシス	
NANDO:1200070	[指定] GM2 gangliosidosis		[指定] GM2ガングリオシドーシス	
NANDO:1200071	[指定] Tay-Sachs disease	TSD	[指定] Tay-Sachs病	テイ・サックス病
NANDO:1200072	[指定] Sandhoff disease	SD	[指定] サンドホフ病	
NANDO:1200073	[指定] GM2 gangliosidosis AB variant	GM2-gangliosidosis, AB variant	[指定] AB型GM2ガングリオシドーシス	
NANDO:1200074	[指定] Krabbe disease		[指定] クラッベ病	Krabbe病
NANDO:1200075	[指定] Infantile Krabbe disease		[指定] 乳児型クラッベ病	Krabbe病（乳児型）
NANDO:1200076	[指定] Juvenile Krabbe disease		[指定] 若年型クラッベ病	Krabbe病（若年型）
NANDO:1200077	[指定] Adult Krabbe disease		[指定] 成人型クラッベ病	Krabbe病（成人型）
NANDO:1200078	[指定] Metachromatic leukodystrophy	MLD	[指定] 異染性白質ジストロフィー	
NANDO:1200079	[指定] Late infantile metachromatic leukodystrophy		[指定] 後期乳児型異染性白質ジストロフィー	
NANDO:1200080	[指定] Juvenile ｍetachromatic leukodystrophy		[指定] 若年型異染性白質ジストロフィー	
NANDO:1200081	[指定] Adult metachromatic leukodystrophy		[指定] 成人型異染性白質ジストロフィー	
NANDO:1200082	[指定] Saposin B deficiency		[指定] サポシンB欠損症	
NANDO:1200083	[指定] Multiple sulfatase deficiency		[指定] マルチプルサルファターゼ欠損症	多発性スルファターゼ欠損症 | マルチプルスルファターゼ欠損症
NANDO:1200084	[指定] Neonatal multiple sulfatase deficiency		[指定] 新生児型マルチプルスルファターゼ欠損症	
NANDO:1200085	[指定] Late-infantile multiple sulfatase deficiency		[指定] 乳幼児型マルチプルスルファターゼ欠損症	
NANDO:1200086	[指定] Farber disease	Farber's lipogranulomatosis | FD	[指定] ファーバー病	Farber病
NANDO:1200087	[指定] Type 1 Farber disease	Classic FD | Type 1 FD	[指定] 古典型ファーバー病	Farber病（古典型）
NANDO:1200088	[指定] Type 2 Farber disease	Intermediate FD | Type 2 FD	[指定] 中間型ファーバー病	Farber病（中間型）
NANDO:1200089	[指定] Type 3 Farber disease	Mild FD | Type 3 FD	[指定] 軽症型ファーバー病	Farber病（軽症型）
NANDO:1200090	[指定] Type 4 Farber disease	Neonatal-visceral FD | Type 4 FD	[指定] 新生児型ファーバー病	Farber病（新生児型）
NANDO:1200091	[指定] Type 5 Farber disease	Neurologic FD | Neurological Progressive variant | Type 5 FD	[指定] 進行性神経障害型ファーバー病	Farber病（神経進行型）
NANDO:1200092	[指定] Type 6 Farber disease	Combined Farber and Sandhoff Disease variant | Type 6 FD	[指定] サンドホフ病合併型ファーバー病	Farber病（サンドホッフ病合併型）
NANDO:1200093	[指定] Type 7 Farber disease	Prosaposin Deficiency | Type 7 FD	[指定] ファーバー病（プロサポシン欠損型）	Farber病（プロサポシン欠損型）
NANDO:1200094	[指定] Hurler syndrome	Mucopolysaccharidosis type IH | MPS IH	[指定] Hurler症候群	ムコ多糖症I型 （Hurler症候群） | ハーラー症候群
NANDO:1200095	[指定] Scheie syndrome	Mucopolysaccharidosis type IS | MPS IS	[指定] Scheie症候群	ムコ多糖症I型 （Scheie症候群） | シェイエ症候群
NANDO:1200096	[指定] Hurler-Scheie syndrome	Mucopolysaccharidosis type IH/S | MPS IH/S	[指定] Hurler／Scheie症候群	ムコ多糖症I型 （Hurler／Scheie症候群） | ハーラー／シェイエ症候群
NANDO:1200097	[指定] Hunter syndrome	Mucopolysaccharidosis type II | MPS II	[指定] Hunter症候群	ハンター症候群 | ムコ多糖症II型
NANDO:1200098	[指定] Hunter syndrome type A	Mucopolysaccharidosis type IIA | Mucopolysaccharidosis type II, severe form | MPS IIA	[指定] ハンター症候群（重症型）	ムコ多糖症II型 （重症型）
NANDO:1200099	[指定] Hunter syndrome type B	Mucopolysaccharidosis type IIB | Mucopolysaccharidosis type II, attenuated form | MPS IIB	[指定] ハンター症候群（軽症型）	ムコ多糖症II型 （軽症型）
NANDO:1200100	[指定] Sanfilippo disease	Mucopolysaccharidosis type III | MPS III	[指定] サンフィリッポ症候群	ムコ多糖症III型
NANDO:1200101	[指定] Sanfilippo disease type A	Mucopolysaccharidosis type IIIA | MPS IIIA	[指定] サンフィリッポ症候群A型	ムコ多糖症III型A型
NANDO:1200102	[指定] Sanfilippo disease type B	Mucopolysaccharidosis type IIIB | MPS IIIB	[指定] サンフィリッポ症候群B型	ムコ多糖症III型B型
NANDO:1200103	[指定] Sanfilippo disease type C	Mucopolysaccharidosis type IIIC | MPS IIIC	[指定] サンフィリッポ症候群C型	ムコ多糖症III型C型
NANDO:1200104	[指定] Sanfilippo disease type D	Mucopolysaccharidosis type IIID | MPS IIID	[指定] サンフィリッポ症候群D型	ムコ多糖症III型D型
NANDO:1200105	[指定] Morquio syndrome	Mucopolysaccharidosis type IV | MPS IV	[指定] モルキオ症候群	Morquio症候群 | ムコ多糖症IV型
NANDO:1200106	[指定] Morquio syndrome type A	Mucopolysaccharidosis type IVA | MPS IVA	[指定] モルキオ症候群A型	ムコ多糖症IV型A型 | Morquio症候群A型
NANDO:1200107	[指定] Morquio syndrome type B	Mucopolysaccharidosis type IVB | MPS IVB	[指定] モルキオ症候群B型	ムコ多糖症IV型B型
NANDO:1200108	[指定] Maroteaux-Lamy syndrome	Mucopolysaccharidosis type VI | MPSVI | Maroteaux-Lamy disease	[指定] マロトー・ラミー症候群	Maroteaux-Lamy症候群 | ムコ多糖症VI型
NANDO:1200109	[指定] Maroteaux Lamy syndrome, rapidly progressing form	Mucopolysaccharidosis type VI | MPS VI	[指定] マロトー・ラミー症候群（重症型）	ムコ多糖症VI型 （重症型） | Maroteaux-Lamy症候群（重症型）
NANDO:1200110	[指定] Maroteaux Lamy syndrome, slowly progressing form	Mucopolysaccharidosis type VI | MPS VI	[指定] マロトー・ラミー症候群（軽症型）	ムコ多糖症VI型 （軽症型） | Maroteaux-Lamy症候群（軽症型）
NANDO:1200111	[指定] Sly syndrome	MPS VII | mucopolysaccharidosis type VII | Sly disease	[指定] Sly病	ムコ多糖症VII型
NANDO:1200112	[指定] Sly syndrome, neonatal form	neonatal form of MPS-VII	[指定] Sly病（新生児型）	ムコ多糖症VII型 （新生児型）
NANDO:1200113	[指定] Sly syndrome, intermediate form	intermediate form of MPS 7	[指定] Sly病（中間型）	ムコ多糖症VII型 （中間型）
NANDO:1200114	[指定] Sly syndrome, mild form	mild form of MPS VII	[指定] Sly病（軽症型）	ムコ多糖症VII型 （軽症型）
NANDO:1200115	[指定] Hyaluronidase deficiency	Mucopolysaccharidosis Type IX	[指定] ヒアルロニダーゼ欠損症	ムコ多糖症IX型 
NANDO:1200116	[指定] Sialidosis		[指定] シアリドーシス	
NANDO:1200117	[指定] Sialidosis type 1		[指定] シアリドーシスI型	
NANDO:1200118	[指定] Sialidosis type 2		[指定] シアリドーシスII型	
NANDO:1200119	[指定] Galactosialidosis		[指定] ガラクトシアリドーシス	
NANDO:1200120	[指定] Galactosialidosis, early infantile form	Sialidosis type II	[指定] 新生児及び早期乳児型ガラクトシアリドーシス	
NANDO:1200121	[指定] Galactosialidosis, late infantile form		[指定] 晩期乳児型ガラクトシアリドーシス	
NANDO:1200122	[指定] Galactosialidosis, juvenile/adult form		[指定] 若年及び成人型ガラクトシアリドーシス	
NANDO:1200123	[指定] Mucolipidosis II, III		[指定] ムコリピドーシスII型,III型	
NANDO:1200124	[指定] Mucolipidosis II	ML II | I-cell disease	[指定] ムコリピドーシスII型	I-cell病
NANDO:1200125	[指定] Mucolipidosis III	ML III	[指定] ムコリピドーシスIII型	
NANDO:1200126	[指定] Alpha-mannosidosis	α-Mannosidosis	[指定] α-マンノシドーシス	
NANDO:1200127	[指定] Alpha-mannosidosis, infantile form	alpha-mannosidosis, type I	[指定] 乳児型α - マンノシドーシス	乳児型（type I）
NANDO:1200128	[指定] Alpha-mannosidosis, adult form		[指定] 若年成人型α - マンノシドーシス	若年成人型（type II）
NANDO:1200129	[指定] Beta-mannosidosis	β-mannosidosis	[指定] β-マンノシドーシス	
NANDO:1200130	[指定] Fucosidosis		[指定] フコシドーシス	
NANDO:1200131	[指定] Fucosidosis, infantile form	Fucosidosis type I	[指定] 乳児型フコシドーシス	
NANDO:1200132	[指定] Fucosidosis, milder form	Fucosidosis Type II	[指定] 軽症型フコシドーシス	
NANDO:1200133	[指定] Aspartylglucosaminuria		[指定] アスパルチルグルコサミン尿症	
NANDO:1200134	[指定] Schindler disease	Alpha-N-acetylgalactosaminidase deficiency | NAGA deficiency	[指定] シンドラー病	
NANDO:1200135	[指定] Schindler disease type I	Alpha-N-acetylgalactosaminidase deficiency type 1 | NAGA deficiency type 1	[指定] シンドラー病I型	Schindler病I型
NANDO:1200136	[指定] Schindler disease type 2	Alpha-N-acetylgalactosaminidase deficiency type 2 | NAGA deficiency type 2 | Kanzaki disease	[指定] シンドラー病II型	Schindler病II型 | 神崎病
NANDO:1200137	[指定] Schindler disease type 3	Alpha-N-acetylgalactosaminidase deficiency type 3 | NAGA deficiency type 3	[指定] シンドラー病III型	Schindler病III型
NANDO:1200138	[指定] Pompe disease		[指定] ポンペ病	Pompe病
NANDO:1200139	[指定] Classic infantile Pompe disease		[指定] 乳児型ポンペ病	Pompe病（乳児型）
NANDO:1200140	[指定] Childhood-onset Pompe disease		[指定] 小児型ポンペ病	Pompe病（小児型）
NANDO:1200141	[指定] Adult-onset Pompe disease		[指定] 成人型ポンペ病	Pompe病（成人型）
NANDO:1200142	[指定] Acid lipase deficiency	Wolman disease and cholesterol ester storage disease | Cholesteryl ester storage disease and Wolman disease	[指定] 酸性リパーゼ欠損症	
NANDO:1200143	[指定] Wolman disease		[指定] ウォルマン病	Wolman病
NANDO:1200144	[指定] Cholesterol ester storage disease	CESD	[指定] コレステロールエステル蓄積症	
NANDO:1200145	[指定] Danon disease		[指定] ダノン病	Danon病
NANDO:1200146	[指定] Free sialic acid storage disease		[指定] 遊離シアル酸蓄積症	
NANDO:1200147	[指定] Infantile free sialic acid storage disease	ISSD	[指定] 乳児型遊離シアル酸蓄積症	遊離シアル酸蓄積症（重症型）
NANDO:1200148	[指定] Intermediate severe Salla disease		[指定] 中間型遊離シアル酸蓄積症	重症Salla病
NANDO:1200149	[指定] Salla disease	SD	[指定] サラ病	遊離シアル酸蓄積症（軽症型） | Salla病
NANDO:1200150	[指定] Neuronal ceroid-lipofuscinosis	NCL	[指定] セロイドリポフスチノーシス	神経セロイドリポフスチン症
NANDO:1200151	[指定] Congenital neuronal ceroid lipofuscinosis		[指定] 先天型神経セロイドリポフスチン症	
NANDO:1200152	[指定] Infantile neuronal ceroid lipofuscinosis	INCL | Infantile Batten disease | CLN1	[指定] 乳児型神経セロイドリポフスチン症	
NANDO:1200153	[指定] Late infantile neuronal ceroid lipofuscinosis	CLN2 | LINCL | Jansky-Bielschowsky disease	[指定] 遅発乳児型神経セロイドリポフスチン症	
NANDO:1200154	[指定] Juvenile neuronal ceroid lipofuscinosis	JNCL | NCL3 | Batten disease | Spielmeyer-Vogt-Sjogren disease	[指定] 若年型神経セロイドリポフスチン症	Batten病
NANDO:1200155	[指定] Adult neuronal ceroid lipofuscinosis	ANCL | Kufs disease | Kufs' disease | CLN4	[指定] 成人型神経セロイドリポフスチン症	
NANDO:1200156	[指定] Atypical neuronal-ceroid lipofuscinosis		[指定] セロイドリポフスチノーシス（非定型型）	
NANDO:1200157	[指定] Fabry disease		[指定] ファブリー病	Fabry病
NANDO:1200158	[指定] Classical Fabry disease	classic Fabry disease | Type 1 Fabry disease	[指定] 古典型ファブリー病	Fabry病（古典型）
NANDO:1200159	[指定] Variant Fabry disease	late-onset Fabry disease	[指定] 亜型ファブリー病	Fabry病（亜型）
NANDO:1200160	[指定] Heterozygous Fabry disease		[指定] ファブリー病顕性ヘテロ接合体	Fabry病（顕性ヘテロ接合体）
NANDO:1200161	[指定] Cystinosis		[指定] シスチン症	
NANDO:1200162	[指定] Nephropathic cystinosis	Infantile nephropathic cystinosis	[指定] 腎型シスチン症	
NANDO:1200163	[指定] Intermediate cystinosis	Juvenile nephropathic cystinosis | Juvenile cystinosis	[指定] 中間型シスチン症	
NANDO:1200164	[指定] Non-nephropathic cystinosis 	ocular cystinosis 	[指定] 非腎型シスチン症	シスチン症（眼型）
NANDO:1200165	[指定] Adrenoleukodystrophy		[指定] 副腎白質ジストロフィー	
NANDO:1200166	[指定] Childhood cerebral adrenoleukodystrophy	CCALD	[指定] 小児大脳型副腎白質ジストロフィー	副腎白質ジストロフィー（小児大脳型）
NANDO:1200167	[指定] Adolescent cerebral adrenoleukodystrophy	AdolCALD	[指定] 思春期大脳型副腎白質ジストロフィー	副腎白質ジストロフィー（思春期大脳型）
NANDO:1200168	[指定] Adrenomyeloneuropathy	AMN | Adrenoleukodystrophy	[指定] 副腎脊髄ニューロパチー	副腎白質ジストロフィー
NANDO:1200169	[指定] Adult cerebral adrenoleukodystrophy	ACALD	[指定] 成人大脳型副腎白質ジストロフィー	副腎白質ジストロフィー（成人大脳型）
NANDO:1200170	[指定] Atypical X-linked adult adrenoleukodystrophy		[指定] 小脳・脳幹型副腎白質ジストロフィー	副腎白質ジストロフィー（小脳・脳幹型）
NANDO:1200171	[指定] Addison-only adrenoleukodystrophy		[指定] アジソン型副腎白質ジストロフィー	副腎白質ジストロフィー（アジソン型）
NANDO:1200172	[指定] Female adrenoleukodystrophy		[指定] 副腎白質ジストロフィー（女性発症者）	
NANDO:1200173	[指定] Mitochondrial diseases		[指定] ミトコンドリア病	ミトコンドリア脳筋症
NANDO:1200175	[指定] Leigh's encephalomyelopathy	Leigh encephalomyelopathy	[指定] リー脳症	
NANDO:1200176	[指定] Mitochondrial encephalomyopathy, lactic acidosis, and strokelike episodes syndrome	MELAS syndrome | MELAS	[指定] ミトコンドリア脳筋症・乳酸アシドーシス・脳卒中様発作症候群	MELAS
NANDO:1200177	[指定] Myoclonus epilepsy associated with ragged-red fibers	MERRF	[指定] 赤色ぼろ線維・ミオクローヌスてんかん症候群	MERRF
NANDO:1200178	[指定] Leber hereditary optic neuropathy	LHON	[指定] レーベル遺伝性視神経症	レーバー病
NANDO:1200179	[指定] Mitochondrial diseases with proven biochemical abnormality		[指定] 生化学的異常が明らかになったミトコンドリア病	
NANDO:1200180	[指定] Mitochondrial complex I deficiency		[指定] 複合体I欠損症	
NANDO:1200181	[指定] Mitochondrial complex II deficiency		[指定] 複合体II欠損症	
NANDO:1200182	[指定] Hyperlacticacidemia with no identified etiology	Hyperlacticacidaemia with no identified etiology	[指定] 原因不明な高乳酸血症	
NANDO:1200183	[指定] Moyamoya disease		[指定] もやもや病	ウィリス動脈輪閉塞症
NANDO:1200184	[指定] Bilateral moyamoya disease		[指定] もやもや病（両側型）	
NANDO:1200185	[指定] Unilateral moyamoya disease		[指定] もやもや病（片側型）	
NANDO:1200186	[指定] Prion disease		[指定] プリオン病	
NANDO:1200187	[指定] Sporadic Creutzfeldt-Jakob disease	sCJD	[指定] 孤発性クロイツフェルト・ヤコブ病	特発性クロイツフェルト・ヤコブ病
NANDO:1200188	[指定] Genetic prion diseases		[指定] 遺伝性プリオン病	
NANDO:1200189	[指定] Familial Creutzfeldt-Jakob disease		[指定] 家族性クロイツフェルト・ヤコブ病	家族性CJD
NANDO:1200190	[指定] Gerstmann-Straussler-Scheinker syndrome	GSS	[指定] ゲルストマン・ストロイスラー・シャインカー病	
NANDO:1200191	[指定] Fatal familial insomnia	FFI	[指定] 致死性家族性不眠症	
NANDO:1200192	[指定] Environmentally acquired Creutzfeldt-Jakob disease		[指定] 獲得性クロイツフェルト・ヤコブ病	
NANDO:1200193	[指定] Iatrogenic Creutzfeldt-Jakob disease	Iatrogenic CJD	[指定] 医原性クロイツフェルト・ヤコブ病	
NANDO:1200194	[指定] Variant Creutzfeldt-Jakob disease	vCJD	[指定] 変異型クロイツフェルトヤコブ病	
NANDO:1200195	[指定] Subacute sclerosing panencephalitis	SSPE	[指定] 亜急性硬化性全脳炎	
NANDO:1200196	[指定] Typical subacute sclerosing panencephalitis		[指定] 亜急性硬化性全脳炎（典型）	
NANDO:1200197	[指定] Rapidly progressive subacute sclerosing panencephalitis		[指定] 急速進行型亜急性硬化性全脳炎	
NANDO:1200198	[指定] Subacute progressive sclerosing panencephalitis		[指定] 亜急性進行型硬化性全脳炎	
NANDO:1200199	[指定] Slowly progressive subacute sclerosing panencephalitis		[指定] 緩徐進行型亜急性硬化性全脳炎	
NANDO:1200200	[指定] Chronic relapsing-remitting subacute sclerosing panencephalitis		[指定] 慢性再発−寛解型亜急性硬化性全脳炎	
NANDO:1200201	[指定] Atypical subacute sclerosing panencephalitis		[指定] 亜急性硬化性全脳炎（非典型）	
NANDO:1200202	[指定] Subacute sclerosing panencephalitis presenting only with convulsion		[指定] 亜急性硬化性全脳炎（症状が痙攣のみの例）	
NANDO:1200203	[指定] Subacute sclerosing panencephalitis with prolonged Jabbour's clinical stage I		[指定] 亜急性硬化性全脳炎（Jabbour分類の I 期が遷延する例）	
NANDO:1200204	[指定] Subacute sclerosing panencephalitis in infants or adults		[指定] 亜急性硬化性全脳炎（乳児あるいは成人例）	
NANDO:1200205	[指定] Progressive multifocal leukoencephalopathy	PML	[指定] 進行性多巣性白質脳症	
NANDO:1200206	[指定] HTLV-1-associated myelopathy	HAM	[指定] HTLV-1関連脊髄症	HAM
NANDO:1200207	[指定] Idiopathic basal ganglia calcification	IBGC	[指定] 特発性基底核石灰化症	
NANDO:1200208	[指定] Familial idiopathic basal ganglia calcification	FIBGC	[指定] 家族性特発性基底核石灰化症	FIBGC
NANDO:1200209	[指定] Systemic amyloidosis		[指定] 全身性アミロイドーシス	
NANDO:1200210	[指定] AL amyloidosis; Transthyretin-related senile systemic amyloidosis	Immunoglobulin-related amyloidosis	[指定] 免疫グロブリン性アミロイドーシス;老人性トランスサイレチン型（TTR）アミロイドーシス;反応性AAアミロイドーシス	ALアミロイドーシス
NANDO:1200211	[指定] Amyloid light-chain amyloidosis	Immunoglobulin-related amyloidosis | AL amyloidosis	[指定] 免疫グロブリン性アミロイドーシス	ALアミロイドーシス
NANDO:1200212	[指定] Transthyretin-related senile systemic amyloidosis		[指定] 老人性トランスサイレチン型アミロイドーシス	老人性TTRアミロイドーシス | 老人性全身性アミロイドーシス
NANDO:1200213	[指定] Reactive AA amyloidosis		[指定] 反応性AAアミロイドーシス	反応性AA
NANDO:1200214	[指定] Familial amyloid polyneuropathy	FAP	[指定] 家族性アミロイドニューロパチー	FAP
NANDO:1200215	[指定] Ullrich disease	Ullrich's disease | Ullrich congenital muscular dystrophy	[指定] ウルリッヒ病	ウルリッヒ型先天性筋ジストロフィー
NANDO:1200216	[指定] Distal myopathy		[指定] 遠位型ミオパチー	
NANDO:1200217	[指定] Miyoshi myopathy	Miyoshi distal myopathy | Distal dysferlinopathy	[指定] 三好型ミオパチー	
NANDO:1200218	[指定] Distal myopathy with rimmed vacuoles	DMRV | GNE myopathy	[指定] 縁取り空胞を伴う遠位型ミオパチー	GNEミオパチー
NANDO:1200219	[指定] Oculopharyngodistal myopathy		[指定] 眼咽頭遠位型ミオパチー	
